,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
47,0.37,2,0.078,3,0.867,2,1,4,0,1,0.0,0.0,0.398,0,0
48,0.329,0,0.06,9,0.667,1,10,1,0,0,0.0,0.0,0.398,0,0
49,0.164,2,0.175,9,0.667,0,3,0,0,0,0.0,0.0,0.429,0,0
50,0.11,2,0.013,5,0.6,1,1,2,4,1,0.0,0.0,0.398,0,0
52,0.411,2,0.026,10,0.933,1,3,2,0,1,0.0,0.437,0.602,6,1
53,0.452,3,0.162,0,0.8,2,1,0,0,0,0.0,0.0,0.551,0,1
54,0.411,5,0.065,1,0.533,2,1,0,0,0,0.0,0.0,0.602,0,0
55,0.356,2,0.152,5,0.6,1,9,1,0,0,0.0,0.0,0.398,0,1
56,0.397,2,0.138,11,0.133,1,8,1,0,0,0.0,0.0,0.398,4,0
57,0.247,2,0.029,9,0.667,1,4,1,0,0,0.0,0.0,0.398,5,0
58,0.329,2,0.091,1,0.533,1,0,1,0,0,0.0,0.0,0.48,0,0
59,0.178,2,0.119,1,0.533,1,8,1,0,0,0.05,0.0,0.398,0,0
60,0.178,2,0.031,0,0.8,1,5,1,0,0,0.024,0.0,0.398,0,0
62,0.425,2,0.092,1,0.533,1,6,1,0,0,0.0,0.0,0.398,0,0
63,0.342,2,0.07,8,1.0,1,3,1,0,0,0.0,0.0,0.449,0,1
64,0.164,2,0.062,5,0.6,2,9,0,0,0,0.0,0.0,0.582,0,0
65,0.26,2,0.096,1,0.533,1,10,1,0,0,0.0,0.0,0.398,0,0
66,0.151,2,0.115,5,0.6,2,0,0,0,1,0.0,0.0,0.398,0,0
67,0.493,2,0.106,1,0.533,1,0,2,0,1,0.0,0.0,0.398,0,1
68,0.438,5,0.121,5,0.6,1,1,1,0,0,0.0,0.0,0.5,0,1
70,0.027,2,0.06,5,0.6,0,3,3,0,0,0.0,0.0,0.316,0,0
71,0.192,2,0.201,0,0.8,4,5,3,1,1,0.0,0.0,0.398,0,0
72,0.164,1,0.101,0,0.8,1,5,1,0,0,0.0,0.0,0.704,0,1
73,0.082,2,0.135,5,0.6,0,8,0,0,0,0.0,0.0,0.398,0,0
74,0.849,2,0.075,5,0.6,1,3,5,0,0,0.0,0.0,0.194,0,0
75,0.137,2,0.136,1,0.533,0,4,3,0,0,0.0,0.0,0.398,4,0
76,0.315,2,0.013,6,0.733,1,0,1,0,0,0.0,0.0,0.398,0,0
78,0.014,2,0.201,2,0.4,0,4,3,0,1,0.0,0.0,0.214,0,0
79,0.192,4,0.076,7,0.2,1,7,1,0,0,0.0,0.0,0.398,0,0
80,0.014,2,0.294,1,0.533,0,5,0,0,0,0.0,0.0,0.296,0,0
81,0.479,2,0.179,0,0.8,1,4,1,0,0,0.0,0.0,0.398,1,0
82,0.397,2,0.026,1,0.533,1,4,2,0,1,0.0,0.0,0.398,0,0
83,0.575,2,0.099,1,0.533,1,5,1,0,0,0.0,0.0,0.48,0,0
84,0.37,2,0.224,1,0.533,2,10,0,0,1,0.143,0.0,0.398,0,1
85,0.493,2,0.226,1,0.533,2,5,3,0,1,0.0,0.0,0.347,0,0
86,0.438,4,0.173,1,0.533,1,11,1,0,0,0.0,0.0,0.398,0,1
87,0.219,2,0.128,3,0.867,1,3,1,0,0,0.0,0.0,0.5,0,0
88,0.178,2,0.028,4,0.267,0,5,0,0,0,0.0,0.0,0.398,0,0
89,0.356,3,0.27,8,1.0,0,3,0,0,1,0.0,0.0,0.5,0,1
90,0.548,2,0.161,9,0.667,1,3,1,0,0,0.0,0.0,0.398,0,0
91,0.274,2,0.186,5,0.6,2,10,4,0,1,0.0,0.0,0.398,0,0
92,0.151,2,0.135,5,0.6,2,8,4,1,1,0.0,0.0,0.245,0,0
94,0.233,4,0.144,0,0.8,1,11,1,0,0,0.0,0.0,0.398,0,1
95,0.164,4,0.069,5,0.6,0,2,0,0,0,0.0,0.0,0.5,0,0
96,0.425,1,0.121,8,1.0,1,3,1,0,0,0.0,0.437,0.602,0,1
97,0.274,2,0.128,5,0.6,1,5,1,0,0,0.0,0.0,0.48,0,1
98,0.425,2,0.107,6,0.733,2,1,4,0,1,0.0,0.0,0.398,7,0
99,0.205,3,0.16,1,0.533,0,4,3,1,0,0.0,0.0,0.398,0,0
100,0.808,2,0.075,3,0.867,1,1,1,0,0,0.0,0.0,0.398,0,1
101,0.37,2,0.125,0,0.8,1,1,1,0,0,0.15,0.0,0.602,0,1
102,0.411,1,0.092,3,0.867,0,3,0,0,1,0.0,0.0,0.5,0,0
103,0.041,2,0.119,5,0.6,0,9,3,0,1,0.0,0.0,0.398,0,0
104,0.164,2,0.061,1,0.533,0,10,0,0,0,0.0,0.0,0.398,0,0
105,0.205,5,0.207,1,0.533,1,10,1,0,0,0.077,0.0,0.398,0,1
107,0.178,2,0.123,2,0.4,0,2,3,0,0,0.0,0.0,0.398,0,0
108,0.192,4,0.119,1,0.533,0,0,0,0,1,0.0,0.0,0.398,0,0
109,0.342,2,0.075,1,0.533,1,2,1,0,0,0.0,0.0,0.398,0,0
110,0.096,2,0.285,0,0.8,0,5,5,0,0,0.0,0.0,0.398,0,0
111,0.288,2,0.035,10,0.933,1,3,1,0,0,0.0,0.0,0.398,0,1
112,0.534,1,0.219,1,0.533,1,4,1,0,0,0.0,0.433,0.5,8,1
113,0.151,2,0.248,5,0.6,1,5,2,0,1,0.041,0.0,0.245,0,0
114,0.26,2,0.061,1,0.533,0,8,3,0,1,0.0,0.0,0.398,0,0
115,0.493,2,0.056,4,0.267,1,2,1,0,0,0.0,0.0,0.5,0,0
116,0.534,5,0.197,5,0.6,1,5,1,0,0,0.0,0.0,0.5,0,0
117,0.438,4,0.125,9,0.667,1,10,1,1,0,0.0,0.0,0.398,0,1
118,0.521,2,0.159,5,0.6,1,5,1,0,0,0.0,0.0,0.561,0,0
119,0.068,2,0.06,1,0.533,0,10,0,0,0,0.0,0.0,0.408,0,0
120,0.055,2,0.127,5,0.6,0,4,3,0,1,0.0,0.0,0.398,0,0
121,0.315,2,0.071,0,0.8,1,1,1,0,0,0.0,0.0,0.602,0,0
122,0.178,2,0.043,0,0.8,0,1,3,1,0,0.0,0.0,0.398,9,0
123,0.164,0,0.173,0,0.8,1,3,1,0,0,0.0,0.0,0.5,0,1
124,0.027,2,0.196,5,0.6,0,4,3,1,0,0.0,0.0,0.347,0,0
125,0.411,2,0.186,0,0.8,1,1,2,0,1,0.0,0.0,0.398,0,1
126,0.041,2,0.067,5,0.6,0,0,3,0,1,0.0,0.395,0.276,0,0
127,0.192,2,0.069,6,0.733,1,0,1,0,0,0.0,0.0,0.398,0,1
129,0.301,2,0.239,5,0.6,2,10,0,0,0,0.0,0.0,0.398,0,0
130,0.151,2,0.038,6,0.733,0,5,0,0,1,0.0,0.0,0.602,0,0
131,0.096,2,0.02,1,0.533,0,4,0,0,1,0.0,0.404,0.398,0,0
132,0.288,1,0.073,1,0.533,1,10,1,0,0,0.044,0.0,0.347,0,0
133,0.274,2,0.163,0,0.8,1,5,1,0,0,0.0,0.0,0.5,0,0
134,0.397,2,0.09,6,0.733,2,9,0,1,1,0.0,0.0,0.357,0,0
135,0.288,3,0.076,3,0.867,1,3,1,0,0,0.0,0.0,0.398,10,1
136,0.356,1,0.029,1,0.533,1,10,1,0,0,0.0,0.0,0.602,0,0
137,0.137,2,0.102,9,0.667,1,0,2,0,1,0.0,0.0,0.347,0,0
138,0.041,2,0.014,5,0.6,0,5,3,0,0,0.0,0.0,0.194,0,0
139,0.438,2,0.046,5,0.6,1,10,1,2,0,0.0,0.0,0.398,0,1
140,0.603,5,0.036,1,0.533,1,10,1,0,0,0.0,0.0,0.398,0,0
141,0.137,2,0.149,5,0.6,0,5,3,0,1,0.0,0.0,0.398,0,0
142,0.027,2,0.206,5,0.6,0,4,3,0,0,0.0,0.0,0.296,4,0
143,0.384,2,0.124,9,0.667,0,3,0,0,1,0.0,0.359,0.398,0,1
144,0.726,2,0.062,5,0.6,0,9,5,0,0,0.0,0.0,0.398,0,0
145,0.192,2,0.117,1,0.533,0,6,4,1,1,0.0,0.0,0.296,0,0
146,0.068,2,0.11,5,0.6,1,4,1,0,0,0.0,0.0,0.235,0,0
147,0.26,2,0.064,1,0.533,6,4,4,0,1,0.0,0.0,0.235,0,0
148,0.644,2,0.114,2,0.4,1,10,1,0,0,0.0,0.5,0.398,0,0
150,0.411,4,0.117,5,0.6,2,0,4,0,1,0.0,0.0,0.378,4,0
151,0.233,2,0.125,1,0.533,0,0,0,0,1,0.0,0.0,0.398,0,0
152,0.219,2,0.101,0,0.8,0,1,5,2,1,0.0,0.0,0.398,11,0
153,0.055,2,0.192,1,0.533,0,10,3,0,0,0.0,0.0,0.347,0,0
155,0.425,2,0.118,1,0.533,1,10,1,0,0,0.0,0.0,0.459,0,0
156,0.082,2,0.136,0,0.8,0,2,0,0,0,0.0,0.0,0.398,0,0
157,0.74,1,0.327,5,0.6,4,5,4,1,0,0.0,0.417,0.01,0,0
158,0.164,2,0.121,1,0.533,2,10,0,0,0,0.0,0.0,0.602,0,0
159,0.342,2,0.146,0,0.8,4,4,5,1,0,0.0,0.0,0.5,0,0
161,0.11,2,0.162,1,0.533,0,4,4,0,1,0.0,0.0,0.398,0,0
162,0.37,5,0.044,3,0.867,2,1,4,2,1,0.0,0.0,0.398,0,0
163,0.151,2,0.051,1,0.533,0,1,0,2,1,0.0,0.0,0.398,7,0
164,0.384,1,0.127,3,0.867,1,5,1,0,0,0.0,0.0,0.398,0,1
165,0.26,2,0.131,5,0.6,2,4,4,0,1,0.0,0.0,0.398,4,0
166,0.301,3,0.151,6,0.733,0,1,0,0,0,0.0,0.0,0.418,0,0
167,0.397,0,0.06,3,0.867,6,11,4,0,0,0.0,0.0,0.398,0,0
168,0.014,2,0.008,2,0.4,0,2,3,0,0,0.0,0.0,0.153,0,0
169,0.671,4,0.028,9,0.667,6,3,0,0,1,0.0,0.0,0.194,0,0
170,0.137,2,0.076,1,0.533,0,4,0,0,0,0.0,0.455,0.398,0,0
171,0.151,0,0.11,1,0.533,1,11,1,0,0,0.0,0.0,0.398,0,0
172,0.466,2,0.056,5,0.6,1,5,1,0,0,0.0,0.454,0.398,0,1
173,0.137,2,0.282,0,0.8,0,10,0,0,0,0.0,0.0,0.5,0,0
174,0.151,0,0.092,0,0.8,1,3,1,0,0,0.0,0.0,0.398,0,1
175,0.137,2,0.163,1,0.533,3,5,4,0,1,0.0,0.0,0.245,0,0
176,0.055,2,0.203,1,0.533,0,10,3,1,0,0.0,0.0,0.398,0,0
177,0.233,2,0.32,1,0.533,0,2,0,1,0,0.0,0.0,0.398,0,0
178,0.014,2,0.116,1,0.533,0,4,3,0,0,0.0,0.0,0.112,0,0
179,0.219,2,0.016,0,0.8,1,3,1,0,0,0.0,0.0,0.653,0,0
180,0.37,4,0.114,5,0.6,1,1,1,1,0,0.0,0.0,0.378,0,1
181,0.356,2,0.069,5,0.6,2,0,0,0,1,0.0,0.0,0.398,0,0
182,0.178,2,0.421,5,0.6,0,10,0,1,0,0.0,0.0,0.449,0,0
183,0.315,2,0.185,7,0.2,1,8,1,0,0,0.0,0.0,0.398,4,1
184,0.274,3,0.01,5,0.6,1,0,1,0,0,0.0,0.0,0.418,0,1
185,0.233,2,0.197,1,0.533,1,0,1,1,0,0.0,0.0,0.398,0,0
186,0.329,1,0.088,0,0.8,2,1,0,0,1,0.0,0.0,0.398,0,0
188,0.192,2,0.059,3,0.867,1,3,2,0,1,0.0,0.0,0.5,0,0
189,0.562,0,0.065,8,1.0,1,3,1,0,0,0.0,0.0,0.0,0,1
190,0.288,2,0.096,5,0.6,2,8,0,1,1,0.0,0.0,0.276,0,0
191,0.096,2,0.099,5,0.6,1,8,1,0,0,0.0,0.0,0.398,0,0
192,0.329,4,0.347,0,0.8,1,10,1,1,0,0.0,0.0,0.398,0,0
193,0.411,2,0.073,5,0.6,1,9,1,0,0,0.0,0.0,0.449,0,0
194,0.329,3,0.08,0,0.8,1,9,1,0,0,0.0,0.0,0.235,0,0
195,0.082,2,0.125,11,0.133,1,6,5,0,0,0.0,0.0,0.398,4,0
196,0.26,2,0.058,5,0.6,2,10,0,0,0,0.0,0.0,0.398,0,0
197,0.315,3,0.029,3,0.867,0,1,0,0,1,0.141,0.0,0.551,0,1
198,0.247,2,0.085,3,0.867,1,3,5,0,0,0.073,0.0,0.398,0,1
199,0.096,1,0.013,1,0.533,0,5,0,0,0,0.0,0.0,0.398,0,0
200,0.123,2,0.261,3,0.867,0,3,0,0,1,0.0,0.431,0.398,0,0
202,0.466,2,0.167,0,0.8,1,1,1,0,0,0.0,0.0,0.5,0,1
203,0.342,4,0.164,5,0.6,0,3,0,0,1,0.0,0.308,0.398,0,0
204,0.274,0,0.023,1,0.533,2,0,4,0,1,0.0,0.0,0.347,0,0
205,0.014,2,0.086,2,0.4,0,5,3,0,1,0.0,0.0,0.398,0,0
206,0.26,2,0.078,0,0.8,1,4,1,1,0,0.073,0.0,0.357,0,1
207,0.247,2,0.015,1,0.533,2,10,0,0,0,0.0,0.0,0.602,0,0
208,0.562,5,0.134,1,0.533,1,5,2,0,1,0.15,0.0,0.347,0,1
209,0.0,2,0.035,2,0.4,0,5,3,0,1,0.0,0.0,0.112,0,0
210,0.37,4,0.1,1,0.533,1,6,1,1,0,0.0,0.0,0.398,0,0
211,0.274,2,0.132,1,0.533,1,10,1,0,0,0.0,0.0,0.398,0,1
212,0.247,2,0.095,5,0.6,0,5,0,3,1,0.0,0.0,0.398,0,0
213,0.589,2,0.049,1,0.533,1,10,1,2,0,0.0,0.0,0.398,0,0
214,0.507,5,0.076,7,0.2,1,8,1,0,0,0.0,0.0,0.398,0,1
215,0.274,2,0.423,0,0.8,0,1,0,1,0,0.0,0.0,0.602,0,1
216,0.452,2,0.204,6,0.733,2,5,0,0,1,0.0,0.0,0.398,0,0
217,0.288,2,0.115,0,0.8,1,5,1,0,0,0.0,0.0,0.5,12,0
218,0.384,2,0.065,0,0.8,1,3,1,0,0,0.0,0.0,0.551,0,0
219,0.11,2,0.164,12,0.333,0,10,0,0,0,0.0,0.0,0.398,0,0
220,0.192,2,0.125,5,0.6,1,2,1,0,0,0.0,0.0,0.398,0,0
222,1.0,2,0.026,1,0.533,0,4,0,1,0,0.0,0.506,0.398,0,0
223,0.507,2,0.111,1,0.533,1,0,1,1,0,0.0,0.0,0.194,0,0
224,0.493,4,0.086,13,0.0,0,8,0,0,1,0.0,0.0,0.347,0,0
225,0.014,2,0.156,1,0.533,0,5,3,0,1,0.0,0.0,0.398,0,0
227,0.671,1,0.105,1,0.533,1,7,1,0,0,0.014,0.0,0.5,0,0
228,0.795,2,0.204,9,0.667,6,0,0,0,1,0.0,0.0,0.194,13,0
229,0.658,2,0.111,1,0.533,2,0,0,0,1,0.0,0.0,0.398,0,0
230,0.247,2,0.357,2,0.4,4,6,0,1,0,0.037,0.0,0.398,0,0
231,0.329,2,0.079,1,0.533,2,5,4,1,1,0.0,0.0,0.378,0,0
232,0.11,2,0.099,5,0.6,0,0,0,0,0,0.0,0.0,0.418,0,0
233,0.219,2,0.066,5,0.6,2,10,5,4,1,0.0,0.0,0.398,0,0
234,0.151,2,0.043,10,0.933,0,3,0,0,0,0.0,0.0,0.551,0,1
235,0.575,0,0.173,1,0.533,1,4,1,0,0,0.0,0.0,0.398,0,0
236,0.315,0,0.107,5,0.6,0,0,0,0,1,0.0,0.0,0.378,0,0
237,0.329,2,0.113,0,0.8,1,1,1,0,0,0.0,0.0,0.5,10,1
238,0.288,4,0.069,3,0.867,1,1,1,0,0,0.0,0.0,0.704,0,1
239,0.082,2,0.069,1,0.533,0,6,3,0,0,0.0,0.0,0.398,0,0
240,0.315,2,0.227,0,0.8,1,3,1,0,0,0.0,0.0,0.398,0,1
241,0.329,1,0.124,1,0.533,1,4,2,0,1,0.0,0.0,0.194,0,0
242,0.096,0,0.177,6,0.733,1,11,1,0,0,0.0,0.0,0.5,0,0
244,0.288,2,0.113,5,0.6,2,10,0,0,0,0.0,0.4,0.398,0,0
246,0.562,2,0.151,1,0.533,1,0,1,0,0,0.0,0.0,0.449,0,1
247,0.205,2,0.116,1,0.533,0,4,0,0,1,0.0,0.0,0.337,0,0
248,0.315,2,0.132,6,0.733,1,9,1,0,0,0.0,0.454,0.602,0,1
250,0.329,2,0.067,10,0.933,1,3,2,0,1,0.0,0.0,0.398,0,1
251,0.342,2,0.256,0,0.8,1,0,2,1,1,0.0,0.0,0.398,0,0
252,0.575,4,0.107,12,0.333,6,4,4,1,1,0.0,0.0,0.296,0,0
253,0.027,4,0.009,5,0.6,0,0,3,0,0,0.0,0.0,0.398,0,0
254,0.562,2,0.167,5,0.6,0,6,0,0,0,0.0,0.0,0.194,0,0
255,0.342,1,0.197,1,0.533,1,7,1,2,0,0.0,0.0,0.398,14,1
256,0.041,2,0.071,1,0.533,0,4,3,0,1,0.0,0.0,0.398,0,0
257,0.205,2,0.108,1,0.533,4,4,0,0,1,0.0,0.0,0.296,0,0
258,0.384,2,0.118,9,0.667,6,1,0,0,1,0.0,0.0,0.449,0,0
259,0.452,2,0.13,7,0.2,2,10,0,0,0,0.0,0.0,0.398,0,0
260,0.26,2,0.093,0,0.8,2,3,3,0,1,0.0,0.0,0.398,0,0
261,0.384,2,0.057,1,0.533,1,5,1,0,0,0.0,0.0,0.602,0,0
262,0.0,2,0.158,2,0.4,0,4,3,0,0,0.0,0.0,0.112,0,0
263,0.575,2,0.09,5,0.6,1,5,1,0,0,0.041,0.0,0.398,0,0
264,0.123,2,0.248,2,0.4,1,10,1,0,0,0.0,0.0,0.398,0,0
265,0.274,5,0.166,5,0.6,1,1,1,2,0,0.0,0.0,0.755,15,1
267,0.644,2,0.005,1,0.533,1,1,1,0,0,0.0,0.0,0.398,0,1
268,0.219,2,0.117,0,0.8,0,3,0,0,1,0.0,0.0,0.449,0,0
269,0.219,2,0.142,1,0.533,1,10,2,0,1,0.0,0.0,0.398,0,1
270,0.603,2,0.038,1,0.533,1,1,1,0,0,0.0,0.0,0.398,0,1
271,0.0,2,0.121,4,0.267,0,4,3,0,0,0.011,0.0,0.235,0,0
272,0.452,1,0.011,3,0.867,1,7,1,0,0,0.024,0.0,0.99,0,0
273,0.137,4,0.133,3,0.867,0,3,3,0,0,0.0,0.0,0.347,0,0
274,0.178,2,0.038,1,0.533,2,3,3,0,1,0.0,0.0,0.398,0,0
275,0.356,2,0.316,1,0.533,1,2,1,1,0,0.0,0.0,0.398,0,0
276,0.37,2,0.107,5,0.6,1,10,1,0,0,0.073,0.0,0.398,0,1
277,0.247,2,0.12,5,0.6,0,1,0,0,1,0.0,0.0,0.398,0,0
278,0.11,2,0.122,5,0.6,0,9,3,0,1,0.0,0.0,0.398,0,0
279,0.096,2,0.181,5,0.6,1,8,2,0,1,0.073,0.0,0.48,0,1
280,0.068,2,0.014,0,0.8,0,3,0,0,1,0.0,0.0,0.143,9,0
281,0.342,4,0.057,5,0.6,1,10,1,0,0,0.052,0.0,0.398,0,1
282,0.233,2,0.11,6,0.733,2,5,4,1,1,0.0,0.0,0.449,0,0
283,0.589,2,0.109,0,0.8,2,3,0,0,1,0.0,0.0,0.418,0,0
284,0.055,2,0.131,1,0.533,0,2,3,0,0,0.0,0.0,0.398,0,0
285,0.548,3,0.28,3,0.867,1,5,1,0,0,0.15,0.0,0.398,0,1
286,0.329,2,0.141,10,0.933,1,3,1,0,0,0.0,0.0,0.602,0,1
287,0.452,2,0.111,5,0.6,2,4,0,0,0,0.0,0.0,0.449,0,0
288,0.11,2,0.244,0,0.8,0,1,0,0,1,0.0,0.0,0.398,0,0
289,0.452,2,0.122,7,0.2,1,10,1,0,0,0.0,0.0,0.398,16,0
290,0.26,2,0.127,0,0.8,1,3,1,0,0,0.0,0.0,0.449,0,0
291,0.192,2,0.077,1,0.533,2,3,0,0,1,0.0,0.0,0.398,0,0
292,0.164,4,0.14,0,0.8,0,11,0,0,0,0.0,0.0,0.561,0,0
293,0.055,2,0.148,5,0.6,0,5,3,0,0,0.0,0.0,0.449,0,0
294,0.137,2,0.16,0,0.8,0,9,4,1,1,0.0,0.0,0.398,0,0
295,0.658,2,0.066,1,0.533,1,6,1,0,0,0.0,0.0,0.153,0,0
296,0.274,5,0.03,0,0.8,2,5,0,0,1,0.0,0.0,0.602,0,0
298,0.096,2,0.18,1,0.533,0,10,3,0,0,0.0,0.0,0.398,0,0
299,0.288,2,0.106,1,0.533,2,5,0,0,0,0.0,0.0,0.806,0,0
300,0.425,2,0.09,0,0.8,1,0,1,0,0,0.077,0.0,0.398,0,1
301,0.055,2,0.095,5,0.6,0,4,0,2,1,0.0,0.0,0.245,0,0
302,0.192,2,0.138,1,0.533,1,6,1,0,0,0.0,0.0,0.449,0,1
303,0.521,2,0.153,1,0.533,1,5,1,0,0,0.044,0.0,0.398,0,1
304,0.096,2,0.197,5,0.6,1,0,2,2,1,0.0,0.0,0.398,17,0
305,0.356,2,0.108,1,0.533,2,0,0,0,1,0.0,0.0,0.398,0,0
306,0.123,2,0.122,6,0.733,0,9,0,0,0,0.0,0.0,0.449,0,0
307,0.397,2,0.047,6,0.733,0,3,0,0,1,0.0,0.0,0.327,0,0
308,0.247,2,0.122,6,0.733,1,0,1,0,0,0.0,0.0,0.398,0,1
309,0.329,5,0.014,5,0.6,1,7,1,0,0,0.0,0.0,0.541,0,1
310,0.123,2,0.031,0,0.8,0,5,0,0,0,0.0,0.0,0.398,0,0
311,0.233,2,0.088,3,0.867,1,1,1,2,0,0.073,0.0,0.347,18,1
313,0.26,1,0.13,0,0.8,2,3,0,1,1,0.0,0.0,0.398,0,1
314,0.068,2,0.126,5,0.6,0,5,3,0,0,0.0,0.0,0.143,0,0
315,0.096,2,0.121,5,0.6,0,8,0,0,0,0.0,0.0,0.398,0,0
316,0.822,1,0.085,5,0.6,1,5,1,0,0,0.0,0.0,0.398,0,0
317,0.068,2,0.262,11,0.133,1,8,5,0,1,0.0,0.0,0.398,4,0
318,0.164,2,0.278,5,0.6,0,9,0,0,1,0.0,0.0,0.398,0,0
319,0.616,2,0.099,1,0.533,6,4,0,0,1,0.0,0.0,0.235,0,0
320,0.301,1,0.109,1,0.533,1,1,1,0,0,0.0,0.0,0.398,0,0
321,0.356,2,0.025,5,0.6,1,10,1,0,0,0.0,0.341,0.5,0,0
322,0.247,2,0.117,1,0.533,2,6,0,0,0,0.0,0.0,0.449,0,0
323,0.164,2,0.127,2,0.4,0,1,0,0,1,0.0,0.0,0.398,0,0
324,0.808,1,0.109,3,0.867,1,10,1,0,0,0.0,0.0,0.092,0,0
325,0.63,1,0.044,1,0.533,1,7,1,0,0,0.0,0.0,0.449,0,0
327,0.356,2,0.118,5,0.6,1,3,2,0,1,0.0,0.433,0.5,0,1
328,0.562,1,0.209,1,0.533,1,2,1,0,0,0.0,0.0,0.398,0,0
329,0.671,2,0.078,1,0.533,0,6,0,0,0,0.021,0.0,0.551,0,0
330,0.329,2,0.131,5,0.6,0,10,0,1,0,0.0,0.0,0.449,0,0
331,0.123,2,0.143,0,0.8,0,0,0,0,0,0.0,0.0,0.398,0,0
332,0.411,2,0.112,9,0.667,0,4,0,0,0,0.0,0.0,0.398,0,0
333,0.521,4,0.058,12,0.333,1,0,1,0,0,0.0,0.0,0.398,0,0
334,0.493,2,0.156,1,0.533,1,6,1,0,0,0.0,0.0,0.398,0,0
335,0.0,2,0.175,11,0.133,0,4,5,0,0,0.0,0.0,0.48,4,0
336,0.178,2,0.055,1,0.533,0,10,5,0,0,0.0,0.0,0.398,0,0
337,0.438,2,0.039,3,0.867,0,3,0,0,0,0.0,0.0,0.602,0,0
338,0.027,2,0.061,1,0.533,0,5,4,1,0,0.0,0.0,0.296,19,0
