,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
54,0,0.446,0.429,0.088,0.136,0.116,0.12,0.108,0.214
55,1,0.574,0.58,0.124,0.234,0.172,0.23,0.218,0.25
56,0,0.5,0.496,0.106,0.156,0.128,0.125,0.133,0.25
57,0,0.534,0.555,0.119,0.208,0.185,0.157,0.168,0.25
58,2,0.23,0.227,0.053,0.03,0.028,0.018,0.023,0.107
59,1,0.581,0.58,0.111,0.206,0.165,0.171,0.173,0.214
60,0,0.507,0.487,0.093,0.145,0.12,0.147,0.133,0.214
61,0,0.581,0.588,0.097,0.221,0.204,0.21,0.173,0.286
62,1,0.615,0.597,0.115,0.246,0.202,0.254,0.198,0.321
63,0,0.473,0.454,0.084,0.133,0.114,0.105,0.098,0.214
64,0,0.601,0.58,0.106,0.205,0.157,0.172,0.183,0.25
65,0,0.541,0.504,0.106,0.169,0.157,0.133,0.133,0.25
66,1,0.662,0.647,0.142,0.323,0.237,0.254,0.317,0.393
67,1,0.703,0.739,0.164,0.454,0.279,0.294,0.482,0.429
68,1,0.541,0.563,0.106,0.187,0.143,0.151,0.168,0.321
69,2,0.318,0.303,0.062,0.053,0.042,0.053,0.043,0.179
70,0,0.649,0.622,0.115,0.271,0.177,0.221,0.273,0.429
71,1,0.439,0.445,0.097,0.124,0.094,0.129,0.098,0.25
72,1,0.703,0.706,0.15,0.441,0.322,0.296,0.422,0.679
73,0,0.669,0.714,0.155,0.419,0.318,0.343,0.377,0.357
74,1,0.716,0.664,0.173,0.388,0.323,0.381,0.312,0.429
75,1,0.709,0.706,0.133,0.356,0.297,0.29,0.278,0.5
76,0,0.703,0.706,0.124,0.334,0.243,0.248,0.312,0.286
77,1,0.709,0.697,0.133,0.326,0.243,0.255,0.302,0.321
78,1,0.649,0.622,0.124,0.278,0.189,0.209,0.283,0.357
79,1,0.73,0.706,0.15,0.39,0.315,0.309,0.342,0.464
80,1,0.676,0.655,0.124,0.333,0.258,0.331,0.283,0.286
81,0,0.736,0.765,0.155,0.571,0.343,0.252,0.671,0.393
82,1,0.601,0.622,0.146,0.349,0.266,0.296,0.317,0.536
83,0,0.703,0.706,0.142,0.466,0.274,0.307,0.576,0.714
84,0,0.682,0.664,0.124,0.358,0.255,0.284,0.357,0.464
85,1,0.669,0.689,0.159,0.458,0.227,0.292,0.437,0.393
86,0,0.743,0.689,0.124,0.423,0.324,0.269,0.397,0.429
87,0,0.655,0.647,0.142,0.305,0.222,0.273,0.258,0.321
88,1,0.52,0.504,0.115,0.182,0.148,0.149,0.163,0.286
89,1,0.676,0.664,0.142,0.345,0.21,0.303,0.327,0.393
90,0,0.662,0.622,0.119,0.287,0.229,0.22,0.253,0.5
91,0,0.649,0.647,0.133,0.267,0.206,0.2,0.258,0.393
92,0,0.703,0.689,0.155,0.394,0.269,0.334,0.387,0.429
93,1,0.743,0.739,0.146,0.446,0.34,0.418,0.387,0.321
94,0,0.838,0.849,0.168,0.528,0.395,0.45,0.482,0.5
95,0,0.797,0.807,0.173,0.568,0.386,0.51,0.477,0.464
96,0,0.622,0.639,0.133,0.256,0.18,0.182,0.248,0.286
97,0,0.534,0.538,0.115,0.185,0.143,0.173,0.143,0.25
98,0,0.534,0.529,0.115,0.184,0.134,0.174,0.163,0.214
99,1,0.541,0.538,0.111,0.204,0.186,0.111,0.153,0.321
100,2,0.385,0.353,0.084,0.081,0.07,0.06,0.073,0.214
101,0,0.642,0.639,0.128,0.298,0.22,0.251,0.253,0.5
102,0,0.615,0.639,0.142,0.312,0.212,0.215,0.332,0.5
103,0,0.615,0.605,0.124,0.256,0.208,0.22,0.203,0.321
104,0,0.716,0.697,0.142,0.415,0.334,0.316,0.342,0.393
105,1,0.601,0.597,0.137,0.257,0.195,0.241,0.233,0.393
106,1,0.635,0.63,0.146,0.283,0.197,0.24,0.278,0.357
107,1,0.574,0.58,0.111,0.236,0.175,0.172,0.218,0.321
108,1,0.588,0.563,0.119,0.224,0.155,0.235,0.198,0.286
109,1,0.486,0.571,0.093,0.128,0.091,0.128,0.128,0.286
110,0,0.568,0.571,0.111,0.191,0.159,0.176,0.153,0.286
111,0,0.527,0.513,0.093,0.152,0.115,0.14,0.173,0.286
112,2,0.486,0.445,0.071,0.117,0.099,0.083,0.103,0.286
113,0,0.473,0.496,0.093,0.138,0.087,0.082,0.163,0.286
114,1,0.635,0.597,0.111,0.245,0.199,0.192,0.208,0.357
115,1,0.615,0.605,0.102,0.209,0.156,0.208,0.178,0.357
116,1,0.561,0.538,0.119,0.216,0.171,0.134,0.218,0.357
117,0,0.493,0.479,0.093,0.142,0.087,0.125,0.163,0.321
118,1,0.655,0.63,0.133,0.312,0.232,0.226,0.307,0.286
119,0,0.446,0.42,0.075,0.092,0.076,0.078,0.083,0.25
120,1,0.534,0.521,0.093,0.148,0.109,0.136,0.138,0.286
121,2,0.419,0.403,0.075,0.089,0.069,0.075,0.083,0.214
122,1,0.595,0.622,0.124,0.271,0.204,0.226,0.253,0.464
123,0,0.399,0.353,0.066,0.075,0.06,0.066,0.068,0.179
124,2,0.385,0.378,0.071,0.061,0.054,0.066,0.068,0.179
125,2,0.264,0.235,0.053,0.025,0.018,0.03,0.028,0.143
126,2,0.405,0.37,0.08,0.084,0.072,0.071,0.068,0.179
127,2,0.419,0.395,0.075,0.088,0.075,0.08,0.078,0.25
128,0,0.845,0.807,0.142,0.61,0.423,0.346,0.537,0.643
129,0,0.858,0.815,0.146,0.693,0.515,0.343,0.776,0.607
130,0,0.703,0.714,0.146,0.446,0.324,0.372,0.407,0.571
131,1,0.493,0.496,0.111,0.142,0.117,0.082,0.127,0.286
132,1,0.338,0.345,0.08,0.067,0.056,0.047,0.06,0.214
133,2,0.372,0.345,0.084,0.074,0.057,0.073,0.066,0.214
134,2,0.257,0.244,0.058,0.034,0.026,0.026,0.026,0.214
135,1,0.473,0.462,0.102,0.143,0.109,0.106,0.134,0.25
136,1,0.311,0.294,0.071,0.055,0.045,0.045,0.046,0.214
137,0,0.365,0.336,0.08,0.07,0.063,0.038,0.061,0.286
138,1,0.446,0.454,0.097,0.125,0.101,0.082,0.115,0.286
139,0,0.405,0.387,0.084,0.089,0.064,0.075,0.091,0.286
140,1,0.662,0.655,0.137,0.292,0.229,0.27,0.245,0.321
141,1,0.642,0.664,0.128,0.262,0.198,0.188,0.264,0.321
142,0,0.777,0.782,0.168,0.475,0.348,0.402,0.443,0.536
143,0,0.655,0.672,0.137,0.282,0.228,0.25,0.24,0.357
144,0,0.541,0.538,0.115,0.183,0.139,0.153,0.168,0.321
145,1,0.561,0.546,0.111,0.194,0.164,0.141,0.172,0.321
146,0,0.52,0.496,0.106,0.182,0.15,0.142,0.154,0.321
147,2,0.277,0.252,0.071,0.044,0.034,0.051,0.04,0.286
148,2,0.135,0.126,0.049,0.01,0.006,0.008,0.011,0.143
149,2,0.128,0.126,0.084,0.01,0.008,0.01,0.008,0.107
150,0,0.696,0.706,0.128,0.372,0.296,0.344,0.322,0.5
151,1,0.716,0.748,0.164,0.395,0.315,0.34,0.332,0.286
152,1,0.757,0.773,0.168,0.485,0.34,0.401,0.447,0.321
153,1,0.716,0.723,0.142,0.373,0.248,0.309,0.352,0.321
154,1,0.662,0.664,0.119,0.349,0.26,0.196,0.307,0.393
155,0,0.595,0.588,0.115,0.255,0.215,0.172,0.208,0.321
156,1,0.676,0.681,0.168,0.351,0.263,0.319,0.337,0.429
157,0,0.77,0.723,0.19,0.536,0.367,0.344,0.631,0.536
158,1,0.682,0.672,0.15,0.321,0.251,0.28,0.283,0.429
159,1,0.676,0.681,0.146,0.397,0.2,0.234,0.437,0.429
160,0,0.716,0.689,0.146,0.373,0.283,0.325,0.337,0.429
161,1,0.716,0.723,0.142,0.432,0.356,0.338,0.278,0.429
162,0,0.723,0.723,0.155,0.44,0.365,0.39,0.342,0.393
163,1,0.878,0.849,0.186,0.758,0.436,0.523,1.0,0.607
164,1,0.777,0.824,0.204,0.62,0.376,0.381,0.811,0.536
165,0,0.878,0.866,0.168,0.902,0.719,0.635,0.721,0.464
166,1,0.878,0.874,0.155,0.752,0.514,0.594,0.846,0.679
167,1,0.818,0.866,0.181,0.652,0.42,0.537,0.646,0.679
168,0,0.851,0.849,0.195,0.701,0.549,0.406,0.756,0.464
169,1,0.818,0.773,0.155,0.573,0.344,0.538,0.616,0.393
170,0,0.838,0.832,0.19,0.692,0.478,0.712,0.586,0.464
171,1,0.615,0.571,0.128,0.274,0.206,0.222,0.253,0.214
172,0,0.608,0.639,0.137,0.376,0.326,0.306,0.283,0.25
173,1,0.601,0.588,0.102,0.274,0.215,0.242,0.218,0.25
174,2,0.216,0.176,0.035,0.016,0.012,0.023,0.013,0.143
175,2,0.385,0.345,0.08,0.063,0.043,0.048,0.073,0.214
176,2,0.324,0.261,0.053,0.044,0.04,0.049,0.033,0.143
177,2,0.324,0.319,0.075,0.05,0.035,0.062,0.048,0.25
178,2,0.203,0.176,0.04,0.016,0.016,0.019,0.013,0.107
179,0,0.682,0.706,0.133,0.343,0.258,0.284,0.347,0.357
180,0,0.669,0.714,0.159,0.332,0.268,0.263,0.292,0.464
181,0,0.764,0.765,0.155,0.484,0.346,0.35,0.567,0.714
182,1,0.655,0.664,0.142,0.362,0.288,0.352,0.297,0.321
183,1,0.736,0.706,0.155,0.359,0.292,0.281,0.322,0.321
184,1,0.77,0.765,0.177,0.554,0.417,0.483,0.457,0.393
185,0,0.736,0.731,0.168,0.431,0.366,0.39,0.352,0.429
186,1,0.75,0.714,0.133,0.372,0.263,0.442,0.283,0.393
187,1,0.75,0.748,0.164,0.489,0.362,0.436,0.377,0.321
188,1,0.75,0.714,0.142,0.424,0.353,0.44,0.312,0.357
189,1,0.689,0.681,0.15,0.33,0.245,0.356,0.287,0.286
190,0,0.73,0.714,0.159,0.41,0.325,0.284,0.322,0.429
191,0,0.723,0.723,0.15,0.361,0.281,0.316,0.357,0.393
192,0,0.682,0.664,0.133,0.328,0.185,0.238,0.357,0.464
193,2,0.378,0.37,0.075,0.077,0.061,0.078,0.148,0.25
194,1,0.588,0.58,0.124,0.288,0.308,0.258,0.193,0.321
195,0,0.574,0.588,0.137,0.273,0.232,0.201,0.243,0.393
196,1,0.581,0.597,0.133,0.227,0.191,0.19,0.208,0.357
197,0,0.764,0.748,0.164,0.461,0.298,0.346,0.462,0.536
198,0,0.655,0.664,0.142,0.326,0.29,0.234,0.258,0.5
199,0,0.689,0.681,0.164,0.326,0.244,0.28,0.283,0.321
200,1,0.507,0.487,0.106,0.147,0.111,0.124,0.133,0.286
201,0,0.574,0.58,0.146,0.291,0.17,0.269,0.283,0.429
202,1,0.574,0.58,0.128,0.222,0.157,0.192,0.228,0.393
203,1,0.615,0.639,0.15,0.288,0.2,0.203,0.273,0.429
204,0,0.466,0.471,0.102,0.13,0.114,0.093,0.118,0.25
205,1,0.493,0.479,0.124,0.17,0.124,0.142,0.158,0.286
206,2,0.439,0.412,0.097,0.111,0.073,0.088,0.118,0.286
207,2,0.486,0.479,0.097,0.134,0.1,0.111,0.118,0.25
208,1,0.608,0.605,0.15,0.294,0.185,0.221,0.307,0.429
209,2,0.399,0.378,0.084,0.093,0.081,0.068,0.078,0.214
210,1,0.561,0.521,0.128,0.224,0.133,0.213,0.218,0.321
211,0,0.351,0.328,0.08,0.063,0.05,0.054,0.058,0.214
212,1,0.459,0.454,0.093,0.134,0.107,0.103,0.118,0.393
213,0,0.574,0.588,0.124,0.217,0.161,0.178,0.203,0.286
214,1,0.554,0.571,0.142,0.233,0.166,0.168,0.233,0.464
215,0,0.642,0.588,0.124,0.284,0.163,0.215,0.253,0.321
216,0,0.507,0.496,0.115,0.162,0.116,0.145,0.133,0.25
217,2,0.446,0.412,0.106,0.114,0.084,0.092,0.108,0.214
218,0,0.534,0.513,0.119,0.177,0.111,0.151,0.163,0.321
219,1,0.459,0.42,0.115,0.113,0.087,0.099,0.103,0.25
220,1,0.5,0.454,0.111,0.16,0.119,0.147,0.138,0.286
221,1,0.534,0.496,0.128,0.183,0.125,0.162,0.178,0.357
222,1,0.561,0.538,0.133,0.203,0.147,0.189,0.188,0.286
223,1,0.5,0.504,0.133,0.171,0.121,0.164,0.153,0.357
224,2,0.473,0.546,0.093,0.115,0.086,0.103,0.098,0.321
225,1,0.574,0.529,0.119,0.159,0.115,0.138,0.153,0.286
226,1,0.426,0.395,0.111,0.107,0.081,0.107,0.088,0.214
227,2,0.392,0.361,0.075,0.072,0.052,0.063,0.068,0.214
228,1,0.682,0.689,0.146,0.389,0.271,0.275,0.347,0.357
229,1,0.615,0.605,0.142,0.277,0.197,0.207,0.243,0.5
230,0,0.649,0.655,0.119,0.295,0.225,0.213,0.273,0.429
231,0,0.662,0.647,0.155,0.319,0.208,0.253,0.322,0.464
232,0,0.743,0.756,0.19,0.511,0.333,0.377,0.432,0.75
233,2,0.27,0.269,0.066,0.04,0.032,0.038,0.033,0.214
234,2,0.493,0.496,0.119,0.153,0.121,0.109,0.123,0.393
235,2,0.297,0.286,0.071,0.043,0.032,0.041,0.038,0.286
236,2,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0
237,2,0.074,0.076,0.027,0.004,0.002,0.003,0.002,0.071
238,2,0.047,0.059,0.027,0.002,0.001,0.002,0.001,0.071
239,2,0.115,0.109,0.031,0.007,0.004,0.005,0.003,0.143
240,0,0.662,0.622,0.142,0.333,0.234,0.287,0.273,0.571
241,2,0.264,0.244,0.062,0.035,0.022,0.032,0.033,0.143
242,2,0.209,0.202,0.058,0.022,0.017,0.013,0.018,0.143
243,2,0.304,0.294,0.071,0.044,0.029,0.034,0.038,0.25
244,2,0.345,0.336,0.075,0.058,0.042,0.051,0.058,0.25
245,2,0.372,0.345,0.075,0.061,0.047,0.045,0.058,0.321
246,2,0.331,0.319,0.071,0.055,0.042,0.042,0.048,0.429
247,2,0.385,0.37,0.075,0.069,0.049,0.054,0.068,0.286
248,2,0.311,0.319,0.066,0.055,0.045,0.049,0.043,0.214
249,2,0.365,0.361,0.097,0.075,0.054,0.071,0.068,0.214
250,2,0.345,0.328,0.093,0.06,0.043,0.045,0.058,0.214
251,0,0.696,0.697,0.159,0.397,0.282,0.369,0.357,0.429
252,1,0.703,0.672,0.137,0.375,0.345,0.284,0.297,0.393
253,1,0.676,0.681,0.164,0.387,0.301,0.285,0.342,0.5
254,0,0.709,0.739,0.146,0.439,0.325,0.365,0.337,0.5
255,0,0.655,0.664,0.155,0.357,0.257,0.271,0.367,0.5
256,0,0.655,0.664,0.164,0.378,0.255,0.23,0.407,0.643
257,0,0.635,0.681,0.142,0.317,0.229,0.217,0.342,0.321
258,1,0.757,0.756,0.15,0.5,0.406,0.39,0.362,0.5
259,1,0.696,0.706,0.142,0.389,0.32,0.336,0.292,0.429
260,1,0.628,0.706,0.137,0.328,0.264,0.255,0.258,0.357
261,1,0.669,0.647,0.111,0.306,0.246,0.226,0.268,0.393
262,0,0.615,0.613,0.146,0.316,0.214,0.314,0.243,0.357
263,2,0.23,0.235,0.053,0.033,0.029,0.032,0.024,0.107
264,0,0.264,0.244,0.071,0.042,0.031,0.036,0.038,0.179
265,1,0.52,0.546,0.115,0.226,0.201,0.2,0.158,0.357
266,0,0.601,0.664,0.133,0.316,0.242,0.244,0.233,0.464
267,0,0.372,0.37,0.097,0.103,0.082,0.083,0.089,0.25
268,0,0.534,0.563,0.133,0.224,0.146,0.116,0.253,0.286
269,1,0.507,0.513,0.111,0.176,0.136,0.131,0.168,0.429
270,1,0.764,0.79,0.19,0.629,0.304,0.375,0.547,0.75
271,0,0.696,0.748,0.177,0.42,0.276,0.355,0.367,0.536
272,0,0.736,0.723,0.181,0.431,0.26,0.329,0.382,0.464
273,0,0.75,0.756,0.199,0.539,0.376,0.438,0.447,0.5
274,0,0.75,0.773,0.137,0.445,0.275,0.259,0.407,0.429
275,0,0.784,0.815,0.19,0.652,0.499,0.43,0.581,0.75
276,1,0.791,0.798,0.164,0.477,0.331,0.322,0.487,0.393
277,0,0.723,0.748,0.212,0.581,0.357,0.44,0.686,0.607
278,0,0.757,0.79,0.181,0.525,0.369,0.409,0.427,0.679
279,1,0.595,0.622,0.119,0.251,0.179,0.211,0.248,0.357
280,1,0.622,0.605,0.164,0.297,0.21,0.208,0.297,0.5
281,2,0.385,0.387,0.093,0.085,0.061,0.074,0.073,0.214
282,1,0.514,0.504,0.106,0.158,0.118,0.136,0.148,0.286
283,0,0.554,0.571,0.124,0.222,0.153,0.167,0.223,0.464
284,0,0.595,0.546,0.155,0.338,0.218,0.207,0.307,0.464
285,1,0.622,0.605,0.15,0.311,0.198,0.258,0.283,0.321
286,0,0.615,0.639,0.137,0.247,0.193,0.209,0.203,0.321
287,1,0.568,0.58,0.137,0.228,0.162,0.174,0.203,0.571
288,0,0.493,0.504,0.111,0.168,0.088,0.107,0.188,0.286
289,1,0.622,0.639,0.142,0.286,0.211,0.236,0.238,0.321
290,0,0.628,0.639,0.159,0.352,0.257,0.297,0.322,0.571
291,1,0.662,0.756,0.186,0.451,0.336,0.367,0.352,0.393
292,0,0.723,0.706,0.146,0.395,0.287,0.29,0.312,0.5
293,1,0.662,0.672,0.155,0.358,0.229,0.272,0.347,0.643
294,0,0.709,0.739,0.173,0.374,0.258,0.25,0.372,0.893
295,2,0.297,0.269,0.075,0.045,0.032,0.044,0.038,0.179
296,2,0.27,0.252,0.066,0.038,0.03,0.037,0.033,0.179
297,2,0.277,0.261,0.075,0.037,0.026,0.038,0.028,0.107
298,0,0.561,0.571,0.124,0.194,0.148,0.167,0.148,0.357
299,0,0.399,0.378,0.093,0.082,0.06,0.076,0.073,0.286
300,1,0.446,0.42,0.084,0.123,0.097,0.117,0.098,0.286
301,1,0.628,0.639,0.155,0.315,0.216,0.228,0.332,0.429
302,0,0.399,0.378,0.088,0.089,0.071,0.078,0.072,0.25
303,0,0.385,0.361,0.088,0.076,0.059,0.065,0.07,0.179
304,1,0.534,0.513,0.115,0.166,0.122,0.149,0.148,0.321
305,2,0.169,0.151,0.053,0.012,0.008,0.012,0.009,0.107
306,2,0.122,0.109,0.027,0.007,0.004,0.006,0.003,0.071
307,0,0.77,0.773,0.212,0.545,0.316,0.485,0.532,0.429
308,0,0.642,0.597,0.111,0.269,0.168,0.215,0.193,0.464
309,0,0.669,0.639,0.128,0.32,0.263,0.309,0.273,0.321
310,1,0.75,0.723,0.168,0.44,0.311,0.402,0.387,0.714
311,0,0.655,0.647,0.124,0.343,0.297,0.269,0.263,0.464
312,0,0.703,0.672,0.173,0.471,0.308,0.425,0.342,0.643
313,1,0.736,0.697,0.177,0.433,0.256,0.355,0.432,0.786
314,0,0.75,0.723,0.155,0.46,0.291,0.387,0.457,0.786
315,2,0.507,0.504,0.097,0.162,0.13,0.088,0.138,0.25
316,1,0.757,0.807,0.168,0.439,0.387,0.325,0.387,0.464
317,0,0.507,0.496,0.088,0.129,0.098,0.133,0.118,0.321
318,1,0.682,0.672,0.137,0.296,0.211,0.182,0.317,0.607
319,2,0.345,0.336,0.084,0.06,0.044,0.033,0.058,0.179
320,2,0.257,0.261,0.053,0.033,0.028,0.028,0.028,0.143
321,2,0.155,0.151,0.035,0.013,0.01,0.008,0.013,0.107
322,0,0.419,0.429,0.088,0.1,0.071,0.098,0.098,0.357
323,2,0.257,0.252,0.062,0.037,0.026,0.053,0.033,0.143
324,0,0.351,0.353,0.093,0.078,0.062,0.073,0.073,0.214
325,2,0.378,0.37,0.08,0.088,0.065,0.069,0.078,0.214
326,2,0.331,0.336,0.088,0.061,0.048,0.054,0.063,0.214
327,0,0.588,0.58,0.115,0.227,0.181,0.219,0.203,0.393
328,0,0.385,0.403,0.093,0.085,0.057,0.069,0.093,0.25
329,2,0.385,0.378,0.08,0.079,0.059,0.052,0.088,0.25
330,0,0.574,0.546,0.137,0.21,0.143,0.211,0.198,0.393
331,1,0.439,0.454,0.106,0.112,0.089,0.074,0.093,0.25
332,2,0.304,0.277,0.071,0.042,0.031,0.055,0.033,0.143
333,2,0.216,0.202,0.035,0.024,0.022,0.019,0.018,0.143
334,1,0.899,0.916,0.173,0.698,0.401,0.537,0.706,0.536
335,0,0.736,0.689,0.168,0.474,0.383,0.417,0.352,0.357
336,0,0.709,0.706,0.168,0.384,0.27,0.349,0.322,0.464
337,0,0.696,0.664,0.164,0.454,0.317,0.363,0.422,0.536
338,0,0.736,0.706,0.164,0.469,0.406,0.427,0.327,0.429
339,1,0.662,0.664,0.173,0.355,0.272,0.329,0.283,0.5
340,0,0.676,0.672,0.128,0.412,0.39,0.299,0.297,0.464
341,1,0.736,0.765,0.181,0.477,0.32,0.337,0.477,0.464
342,0,0.736,0.689,0.164,0.451,0.389,0.403,0.317,0.393
343,1,0.581,0.538,0.159,0.2,0.156,0.196,0.168,0.393
344,1,0.52,0.622,0.137,0.264,0.201,0.199,0.238,0.25
345,0,0.561,0.563,0.124,0.25,0.187,0.287,0.178,0.429
346,1,0.608,0.613,0.142,0.267,0.184,0.227,0.273,0.286
347,2,0.358,0.345,0.071,0.07,0.053,0.072,0.053,0.179
348,2,0.405,0.42,0.102,0.095,0.061,0.097,0.088,0.25
349,0,0.723,0.714,0.133,0.424,0.376,0.323,0.278,0.464
350,1,0.723,0.739,0.164,0.408,0.36,0.382,0.243,0.25
351,1,0.689,0.664,0.15,0.307,0.223,0.215,0.268,0.75
352,0,0.669,0.681,0.124,0.337,0.3,0.271,0.243,0.393
353,0,0.682,0.672,0.15,0.329,0.274,0.34,0.218,0.286
354,0,0.757,0.773,0.15,0.451,0.342,0.376,0.337,0.536
355,0,0.845,0.882,0.181,0.754,0.498,0.645,0.576,0.679
356,0,0.811,0.79,0.164,0.561,0.466,0.442,0.392,0.429
357,1,0.77,0.79,0.168,0.64,0.472,0.511,0.392,0.607
358,0,0.905,0.891,0.19,0.884,0.622,0.621,0.696,0.571
359,1,0.824,0.824,0.159,0.625,0.503,0.515,0.482,0.536
360,0,0.716,0.731,0.159,0.434,0.322,0.377,0.347,0.607
361,1,0.696,0.689,0.133,0.352,0.263,0.323,0.337,0.393
362,1,0.777,0.79,0.155,0.503,0.41,0.394,0.442,0.679
363,1,0.709,0.714,0.133,0.364,0.274,0.355,0.292,0.536
364,1,0.736,0.748,0.155,0.419,0.335,0.396,0.347,0.393
365,0,0.75,0.773,0.142,0.359,0.283,0.321,0.352,0.643
366,0,0.682,0.689,0.128,0.313,0.296,0.217,0.263,0.357
367,1,0.682,0.672,0.106,0.379,0.321,0.359,0.263,0.321
368,0,0.75,0.731,0.159,0.4,0.307,0.363,0.312,0.393
369,1,0.831,0.849,0.19,0.608,0.457,0.393,0.467,0.571
370,1,0.777,0.824,0.146,0.554,0.446,0.454,0.412,0.536
371,1,0.791,0.857,0.173,0.623,0.465,0.429,0.497,0.536
372,1,0.818,0.882,0.177,0.632,0.393,0.596,0.596,0.643
373,1,0.845,0.874,0.15,0.463,0.342,0.413,0.417,0.464
374,0,0.824,0.782,0.133,0.475,0.311,0.384,0.397,0.429
375,1,0.811,0.824,0.173,0.614,0.46,0.486,0.601,0.679
376,0,0.75,0.731,0.168,0.416,0.331,0.442,0.283,0.357
377,1,0.689,0.664,0.142,0.381,0.335,0.378,0.248,0.321
378,0,0.662,0.689,0.155,0.352,0.261,0.24,0.367,0.5
379,1,0.723,0.739,0.164,0.392,0.248,0.412,0.327,0.393
380,0,0.716,0.697,0.159,0.403,0.252,0.369,0.382,0.5
381,0,0.622,0.613,0.128,0.279,0.221,0.248,0.248,0.321
382,0,0.554,0.58,0.119,0.234,0.21,0.18,0.198,0.321
383,0,0.534,0.538,0.106,0.196,0.151,0.16,0.193,0.393
384,0,0.635,0.622,0.119,0.298,0.25,0.276,0.233,0.321
385,1,0.514,0.529,0.093,0.174,0.145,0.163,0.133,0.286
